Ticker,Company,Price,Shares_Outstanding,Market_Cap_USD,Weight
NVDA,Nvidia,199.0,24221000000.0,4819979000000.0,0.1629152802737353
AAPL,Apple Inc.,293.0799865722656,14687356000.0,4304570099262.085,0.14549446049022685
MSFT,Microsoft,365.4599914550781,7428434704.0,2714795683448.446,0.09176008850970727
AMZN,Amazon,234.27000427246094,10757109436.0,2520068073531.05,0.08517829569552132
GOOGL,Alphabet Inc. (Class A),345.2900085449219,5867155790.0,2025870272863.4878,0.06847441105070867
GOOG,Alphabet Inc. (Class C),345.0400085449219,5499638298.0,1897595245335.8997,0.06413871538444578
AVGO,Broadcom,382.07000732421875,4757580198.0,1817728701095.418,0.06143922635359466
TSLA,"Tesla, Inc.",375.5299987792969,3755723871.0,1410386980692.006,0.04767107704283887
META,Meta Platforms,557.6699829101562,2196045588.0,1224668705529.884,0.04139379972482736
MU,Micron Technology,1048.510009765625,1127734051.0,1182440440827.0378,0.03996648446483605
WMT,Walmart,119.0,7958079155.0,947011419445.0,0.03200898402696569
AMD,Advanced Micro Devices,519.739990234375,1630600639.0,847488360190.0256,0.028645104829105345
ASML,ASML Holding,1762.77001953125,385417665.0,679402704859.7388,0.02296381002509725
INTC,Intel,131.64999389648438,5026000000.0,661672869323.7305,0.02236454162049299
CSCO,Cisco,119.7300033569336,3941434665.0,471907985671.5844,0.015950488943852252
LRCX,Lam Research,374.79998779296875,1250571000.0,468713995534.2407,0.01584253208378774
AMAT,Applied Materials,588.969970703125,793959430.0,467618262226.5698,0.015805496300245015
COST,Costco,961.0900268554688,443478804.0,426223055646.19116,0.014406338403077505
ARM,Arm Holdings,359.0799865722656,1068078760.0,383525706798.9221,0.01296316809997073
KLAC,KLA Corporation,240.47999572753906,1306275210.0,314133056919.79016,0.010617696676963294
